codigo tabla,edad min,edad max,cotizante hombre,cotizante mujer,carga hombre,carga mujer
35,80,200,4.00,4.00,4.00,4.00
1149,0,1,1.80,1.80,1.80,1.80
1149,2,4,0.80,0.80,0.60,0.60
1149,5,9,0.70,0.70,0.50,0.50
1149,10,14,0.70,0.70,0.50,0.50
1149,15,19,0.70,0.70,0.50,0.50
1149,20,24,0.80,2.00,0.50,0.80
1149,25,29,0.90,2.35,0.70,1.50
1149,30,34,1.00,3.30,1.00,1.85
1149,35,39,1.00,3.30,1.00,1.75
1149,40,44,1.20,2.40,1.20,1.60
1149,45,49,1.30,2.40,1.30,1.80
1149,50,54,1.60,2.45,1.60,1.85
1149,55,59,2.10,2.55,2.10,2.10
1149,60,64,2.70,2.70,2.70,2.70
1149,65,69,3.20,3.20,3.20,3.20
1149,70,74,3.80,3.80,3.80,3.80
1149,75,79,4.50,3.90,4.50,3.90
1149,80,200,4.70,4.50,4.70,4.50
592,0,1,1.80,1.80,1.80,1.80
592,2,4,0.80,0.80,0.80,0.80
592,5,9,0.70,0.80,0.60,0.60
592,10,14,0.70,0.80,0.60,0.60
592,15,19,0.70,1.30,0.60,0.75
592,20,24,0.70,2.17,0.60,1.00
592,25,29,0.90,2.50,0.70,1.40
592,30,34,1.00,2.78,1.00,1.60
592,35,39,1.05,2.60,1.05,1.60
592,40,44,1.26,2.45,1.26,1.60
592,45,49,1.40,2.70,1.30,1.75
592,50,54,1.75,2.99,1.75,2.10
592,55,59,2.22,3.34,1.90,2.20
592,60,64,2.70,3.70,2.60,2.70
592,65,69,3.70,3.70,3.70,3.70
592,70,74,4.00,4.00,4.00,4.00
592,75,79,4.50,4.30,4.50,4.30
592,80,200,5.00,4.80,5.00,4.80
